_,Starting chaos monkey,2024-11-07 15:54:33_401
site_2,Changing gemport for YGLTKGW0WCYW6RZ2 from site_2,2024-11-07 15:58:45_173
site_1,Changing snmp profile for 1OCJC8RL5FU0I61S from site_1,2024-11-07 15:58:48_143
site_8,Changing vlan type for P66UWM8CN8RMZRBX from site_8,2024-11-07 15:58:57_410
site_1,Changing vlan type for UTQFVF1RAOA1PQHP from site_1,2024-11-07 15:58:58_616
site_6,Changing s vlan for VSV7U3DWMYS7ADSL from site_6,2024-11-07 15:58:59_794
site_1,Changing vlan type for 6N4BE3LUC3TXLDRT from site_1,2024-11-07 15:59:01_870
site_5,Changing s vlan for 9RWZKUK4N9QA6VIE from site_5,2024-11-07 15:59:03_954
site_5,Changing vlan type for 2C3VKQXI4ZSZH053 from site_5,2024-11-07 15:59:09_435
site_2,Changing state of twamp from site_2,2024-11-07 15:59:11_967
site_3,Changing c vlan for 1OB2WOHAJ789M8Q9 from site_3,2024-11-07 15:59:14_957
site_3,Changing c vlan for 039QZI6OWHAOMLOC from site_3,2024-11-07 15:59:23_157
site_6,Changing s vlan for VQDVYSMSSBNLU7K7 from site_6,2024-11-07 15:59:25_421
site_6,Changing gemport for YGLTKGW0WCYW6RZ2 from site_6,2024-11-07 15:59:27_721
site_1,Changing snmp profile for VCSO7HWJXJN1EZOF from site_1,2024-11-07 15:59:28_765
site_8,Changing vlan type for 1V54SZUP0DGR5VGA from site_8,2024-11-07 15:59:32_410
site_8,Changing s vlan for 2ALPKUJVA3QV0MUB from site_8,2024-11-07 15:59:34_986
site_8,Changing gemport for 2YSAYRRGXCEOI3UH from site_8,2024-11-07 15:59:37_588
site_4,Changing vlan type for 01Y6RMQ95B1Q2OOR from site_4,2024-11-07 15:59:39_917
site_2,Changing s vlan for EKOTGLRJZ9XWA3H2 from site_2,2024-11-07 15:59:44_930
site_4,Changing vlan type for VCSO7HWJXJN1EZOF from site_4,2024-11-07 15:59:47_933
site_8,Changing c vlan for 039QZI6OWHAOMLOC from site_8,2024-11-07 15:59:49_331
site_3,Changing snmp profile for 8C98WAFKXO5O18ZG from site_3,2024-11-07 15:59:51_807
site_7,Changing state of portal from site_7,2024-11-07 15:59:54_853
site_5,Changing c vlan for P66UWM8CN8RMZRBX from site_5,2024-11-07 16:00:12_127
site_4,Changing snmp profile for B3Y944V187HNK4DV from site_4,2024-11-07 16:00:13_588
site_7,Unregistering VSK0G5Z4Q590UHF9 from site_7,2024-11-07 16:00:15_922
site_7,Changing state of telnet from site_7,2024-11-07 16:00:17_268
site_1,Changing s vlan for I1J3L4IJV9JUNI7W from site_1,2024-11-07 16:00:22_505
site_7,Changing s vlan for IG7C29XZBSI9IVGB from site_7,2024-11-07 16:00:23_259
site_6,Changing snmp profile for 16NTY5NMG2WGK331 from site_6,2024-11-07 16:00:27_497
site_2,Changing vlan type for D14BT211Q501ZN0P from site_2,2024-11-07 16:00:29_528
site_4,Unregistering R5ZLSI92IEQAASPI from site_4,2024-11-07 16:00:30_282
site_5,Changing s vlan for HUIRFWVIICY5ICKU from site_5,2024-11-07 16:00:35_028
site_7,Changing s vlan for UJB2W4MYAYQK05NZ from site_7,2024-11-07 16:00:38_271
site_8,Changing snmp profile for 3YP7WNXYFQE0SGTT from site_8,2024-11-07 16:00:41_627
site_1,Unregistering JNIO5HCUNKSPH6RP from site_1,2024-11-07 16:00:42_459
site_6,Changing state of radius from site_6,2024-11-07 16:00:42_857
site_1,Unregistering T2740VMG9YQEHF5D from site_1,2024-11-07 16:00:45_105
site_2,Unregistering LUL6LGDPJ3PULGW4 from site_2,2024-11-07 16:00:46_427
site_2,Changing c vlan for VCSO7HWJXJN1EZOF from site_2,2024-11-07 16:00:53_137
site_4,Changing c vlan for 1V54SZUP0DGR5VGA from site_4,2024-11-07 16:00:55_163
site_1,Changing s vlan for 1OCJC8RL5FU0I61S from site_1,2024-11-07 16:00:58_509
site_6,Changing s vlan for 1OCJC8RL5FU0I61S from site_6,2024-11-07 16:01:01_454
site_4,Changing gemport for JNF8W8T9D1X0Q052 from site_4,2024-11-07 16:01:02_069
site_4,Changing gemport for I5FB0F7CGRXCN676 from site_4,2024-11-07 16:01:03_166
site_2,Unregistering JNIO5HCUNKSPH6RP from site_2,2024-11-07 16:01:03_572
site_7,Unregistering R5ZLSI92IEQAASPI from site_7,2024-11-07 16:01:06_497
site_5,Changing c vlan for 1V54SZUP0DGR5VGA from site_5,2024-11-07 16:01:11_746
site_7,Changing vlan type for YLJQ7MN32YPIY8IW from site_7,2024-11-07 16:01:14_034
site_8,Changing s vlan for ATJQ0J439JNYG8KD from site_8,2024-11-07 16:01:14_283
site_4,Changing snmp profile for T24TTLDLW0BVQ7D6 from site_4,2024-11-07 16:01:17_451
site_4,Changing gemport for HEIYORNJ2EFUIISS from site_4,2024-11-07 16:01:19_982
site_8,Changing vlan type for D14BT211Q501ZN0P from site_8,2024-11-07 16:01:21_480
site_7,Changing snmp profile for JNIO5HCUNKSPH6RP from site_7,2024-11-07 16:01:23_516
site_8,Unregistering VETMQ35WXD9GDUDV from site_8,2024-11-07 16:01:25_852
site_3,Changing vlan type for DPMJFH1DZ3VN6SCI from site_3,2024-11-07 16:01:27_894
site_4,Changing s vlan for O4FZKOZ8HVGCPZMB from site_4,2024-11-07 16:01:29_588
site_7,Unregistering HASYFDYE8Q5XI1CE from site_7,2024-11-07 16:01:31_546
site_3,Changing c vlan for JU9CNI8H2I1H2662 from site_3,2024-11-07 16:01:33_365
site_5,Changing vlan type for BUNR1IXXQRR396F6 from site_5,2024-11-07 16:01:33_752
site_1,Changing gemport for 6CXHN0STHGWBJ7GV from site_1,2024-11-07 16:01:41_355
site_1,Changing vlan type for HY9PVGXHEPODQCP6 from site_1,2024-11-07 16:01:41_918
site_2,Changing s vlan for EX67JGS13JV1NUI9 from site_2,2024-11-07 16:01:49_991
site_3,Changing snmp profile for HUIRFWVIICY5ICKU from site_3,2024-11-07 16:01:53_428
site_4,Unregistering T24TTLDLW0BVQ7D6 from site_4,2024-11-07 16:01:56_640
site_1,Changing gemport for S7QPMTODRNLHGGB8 from site_1,2024-11-07 16:01:58_668
site_6,Changing s vlan for EX67JGS13JV1NUI9 from site_6,2024-11-07 16:02:06_228
site_1,Changing vlan type for NIWU3TOWGFK9JK7X from site_1,2024-11-07 16:02:08_301
site_8,Changing state of sshv6 from site_8,2024-11-07 16:02:08_428
site_1,Changing snmp profile for WGDCO24B3DN5YEWU from site_1,2024-11-07 16:02:12_764
site_5,Changing gemport for HASYFDYE8Q5XI1CE from site_5,2024-11-07 16:02:13_679
site_1,Changing snmp profile for EQYQAEK7DX1392ZC from site_1,2024-11-07 16:02:14_014
site_3,Changing s vlan for NIWU3TOWGFK9JK7X from site_3,2024-11-07 16:02:20_475
site_7,Changing state of dhcp-relay from site_7,2024-11-07 16:02:20_603
site_8,Changing snmp profile for 1680AHYS94MPGAHR from site_8,2024-11-07 16:02:21_598
site_3,Changing c vlan for O4FZKOZ8HVGCPZMB from site_3,2024-11-07 16:02:22_222
site_1,Changing s vlan for W1QDXCPKUF1D5O1U from site_1,2024-11-07 16:02:26_286
site_1,Changing s vlan for B3Y944V187HNK4DV from site_1,2024-11-07 16:02:30_913
site_8,Changing c vlan for IDSB4I9FYZG92X3H from site_8,2024-11-07 16:02:53_694
site_8,Changing state of ntp from site_8,2024-11-07 16:02:59_011
site_6,Unregistering IKMHWE6RYXGOP28C from site_6,2024-11-07 16:03:04_466
site_5,Changing s vlan for VSK0G5Z4Q590UHF9 from site_5,2024-11-07 16:03:07_077
site_8,Changing s vlan for HU9WCPZ1KZLOPVCA from site_8,2024-11-07 16:03:08_073
site_1,Changing s vlan for 6CXHN0STHGWBJ7GV from site_1,2024-11-07 16:03:13_603
site_5,Changing state of telnet from site_5,2024-11-07 16:03:16_104
site_6,Changing vlan type for R5ZLSI92IEQAASPI from site_6,2024-11-07 16:03:18_143
site_1,Changing snmp profile for 9RWZKUK4N9QA6VIE from site_1,2024-11-07 16:03:23_178
site_7,Changing vlan type for LUL6LGDPJ3PULGW4 from site_7,2024-11-07 16:03:25_461
site_4,Unregistering IG7C29XZBSI9IVGB from site_4,2024-11-07 16:03:29_534
site_7,Changing snmp profile for BUNR1IXXQRR396F6 from site_7,2024-11-07 16:03:33_127
site_7,Changing c vlan for Q5T212GUMBTWAVK7 from site_7,2024-11-07 16:03:36_534
site_1,Changing c vlan for O4FZKOZ8HVGCPZMB from site_1,2024-11-07 16:03:40_700
site_3,Changing s vlan for ZCWNORZENVBL2W8M from site_3,2024-11-07 16:03:44_355
site_7,Changing c vlan for NZS8AUTPJCPJGPLH from site_7,2024-11-07 16:03:52_209
site_6,Changing s vlan for IDDTVL4IZ8A607RB from site_6,2024-11-07 16:03:53_388
site_4,Changing snmp profile for HEIYORNJ2EFUIISS from site_4,2024-11-07 16:03:56_073
site_5,Changing s vlan for DHUQ23HTMJTNXIW0 from site_5,2024-11-07 16:04:04_219
site_4,Changing gemport for YGLTKGW0WCYW6RZ2 from site_4,2024-11-07 16:04:06_871
site_8,Changing snmp profile for JJ8YOGYEVYQXIVWG from site_8,2024-11-07 16:04:10_249
site_8,Changing state of sftp-client from site_8,2024-11-07 16:04:10_301
site_4,Unregistering 32X65CP9PI70XKLQ from site_4,2024-11-07 16:04:15_221
site_4,Changing snmp profile for PMZNZZ4MSFUQWQFQ from site_4,2024-11-07 16:04:23_502
site_3,Changing vlan type for MTE5VRDCEX00QPWN from site_3,2024-11-07 16:04:23_938
site_3,Changing vlan type for 8UNVEJ7P2RO5D9FA from site_3,2024-11-07 16:04:26_589
site_2,Changing gemport for H1TGIQWZIC0NER2E from site_2,2024-11-07 16:04:28_744
site_3,Changing gemport for 7UQLRJ8GUI9J0GY7 from site_3,2024-11-07 16:04:32_992
site_1,Unregistering MTE5VRDCEX00QPWN from site_1,2024-11-07 16:04:35_972
site_5,Changing state of web-proxy from site_5,2024-11-07 16:04:42_899
site_6,Changing vlan type for SVAKP416MMF6LABI from site_6,2024-11-07 16:04:46_365
site_3,Changing vlan type for NZS8AUTPJCPJGPLH from site_3,2024-11-07 16:04:48_884
site_3,Changing s vlan for 790AB7S9OVACI7V3 from site_3,2024-11-07 16:04:49_600
site_4,Changing snmp profile for R7BZGH4EUC9SDDW4 from site_4,2024-11-07 16:04:53_821
site_1,Changing c vlan for EQYQAEK7DX1392ZC from site_1,2024-11-07 16:04:56_347
site_1,Unregistering HY9PVGXHEPODQCP6 from site_1,2024-11-07 16:04:59_210
site_7,Changing c vlan for R5ZLSI92IEQAASPI from site_7,2024-11-07 16:05:03_606
site_3,Changing vlan type for 3FG8V2YEI9L7O4B8 from site_3,2024-11-07 16:05:06_579
site_2,Changing c vlan for T24TTLDLW0BVQ7D6 from site_2,2024-11-07 16:05:06_991
site_5,Changing gemport for IG7C29XZBSI9IVGB from site_5,2024-11-07 16:05:07_871
site_7,Unregistering J1MORDM9JICUPPBO from site_7,2024-11-07 16:05:11_039
site_2,Changing snmp profile for J1MORDM9JICUPPBO from site_2,2024-11-07 16:05:13_505
site_6,Changing snmp profile for LUL6LGDPJ3PULGW4 from site_6,2024-11-07 16:05:15_759
site_1,Changing c vlan for 6CXHN0STHGWBJ7GV from site_1,2024-11-07 16:05:16_262
site_2,Unregistering W1QDXCPKUF1D5O1U from site_2,2024-11-07 16:05:19_553
site_8,Changing snmp profile for 05AIUKWJK40A4PVE from site_8,2024-11-07 16:05:20_259
site_2,Changing gemport for 8C98WAFKXO5O18ZG from site_2,2024-11-07 16:05:22_839
site_1,Changing vlan type for 3FG8V2YEI9L7O4B8 from site_1,2024-11-07 16:05:41_421
site_5,Unregistering NZS8AUTPJCPJGPLH from site_5,2024-11-07 16:05:46_190
site_6,Changing s vlan for D8IKT2UYSDDZ95PQ from site_6,2024-11-07 16:05:49_763
site_1,Changing vlan type for 1V54SZUP0DGR5VGA from site_1,2024-11-07 16:05:54_839
site_8,Changing state of radius from site_8,2024-11-07 16:05:58_103
site_6,Changing c vlan for 6YQNYKYLLT2FB7GT from site_6,2024-11-07 16:06:01_591
site_8,Unregistering 8C98WAFKXO5O18ZG from site_8,2024-11-07 16:06:02_298
site_5,Changing vlan type for WZKOW60XB9N87U4C from site_5,2024-11-07 16:06:11_037
site_1,Changing vlan type for IDSB4I9FYZG92X3H from site_1,2024-11-07 16:06:14_553
site_7,Changing vlan type for V6IENT2F1THH02H2 from site_7,2024-11-07 16:06:19_184
site_1,Changing gemport for HUIRFWVIICY5ICKU from site_1,2024-11-07 16:06:31_072
site_4,Changing s vlan for T2740VMG9YQEHF5D from site_4,2024-11-07 16:06:36_697
site_2,Changing c vlan for ETIVJWTZWCK4ZRL3 from site_2,2024-11-07 16:06:40_469
site_6,Changing s vlan for HY9PVGXHEPODQCP6 from site_6,2024-11-07 16:06:42_642
site_3,Changing vlan type for VQDVYSMSSBNLU7K7 from site_3,2024-11-07 16:06:50_442
site_3,Changing state of sftp-client from site_3,2024-11-07 16:06:59_220
site_4,Changing state of netconf from site_4,2024-11-07 16:06:59_458
site_6,Changing vlan type for B3Y944V187HNK4DV from site_6,2024-11-07 16:07:00_636
site_7,Unregistering 184RU0KYYQ42BSF3 from site_7,2024-11-07 16:07:03_340
site_7,Changing snmp profile for S7QPMTODRNLHGGB8 from site_7,2024-11-07 16:07:05_357
site_8,Changing s vlan for HASYFDYE8Q5XI1CE from site_8,2024-11-07 16:07:07_265
site_6,Changing c vlan for XYMSNABHT9XTK9CK from site_6,2024-11-07 16:07:13_072
site_5,Changing gemport for QG6D96MC6LTULLGW from site_5,2024-11-07 16:07:16_329
site_5,Changing s vlan for 1OCJC8RL5FU0I61S from site_5,2024-11-07 16:07:19_044
site_2,Changing state of ssh from site_2,2024-11-07 16:07:22_511
site_6,Changing snmp profile for O4FZKOZ8HVGCPZMB from site_6,2024-11-07 16:07:24_180
site_5,Changing vlan type for R5ZLSI92IEQAASPI from site_5,2024-11-07 16:07:43_775
site_5,Changing snmp profile for B3Y944V187HNK4DV from site_5,2024-11-07 16:07:49_315
site_5,Changing state of ntp6 from site_5,2024-11-07 16:07:50_536
site_5,Changing snmp profile for SVAKP416MMF6LABI from site_5,2024-11-07 16:07:54_435
site_4,Changing vlan type for HASYFDYE8Q5XI1CE from site_4,2024-11-07 16:07:55_826
site_8,Changing vlan type for 2VW6E2FKL3R5UC4V from site_8,2024-11-07 16:07:57_268
site_5,Changing snmp profile for ETIVJWTZWCK4ZRL3 from site_5,2024-11-07 16:08:00_912
site_6,Changing c vlan for 9SL7C0UGYA642JHP from site_6,2024-11-07 16:08:03_326
site_2,Changing c vlan for GO43QKFUFJGOHRDR from site_2,2024-11-07 16:08:11_019
site_2,Changing vlan type for F7DDDK3JCATL2I9O from site_2,2024-11-07 16:08:15_662
site_5,Changing state of telnet from site_5,2024-11-07 16:08:16_984
site_8,Unregistering 6ON8DYUDVC7FYZ92 from site_8,2024-11-07 16:08:19_500
site_4,Changing vlan type for EX67JGS13JV1NUI9 from site_4,2024-11-07 16:08:23_576
site_8,Changing state of mqtt from site_8,2024-11-07 16:08:24_681
site_2,Changing state of trace from site_2,2024-11-07 16:08:27_653
site_8,Unregistering XYMSNABHT9XTK9CK from site_8,2024-11-07 16:08:32_195
site_6,Changing snmp profile for VFII93IG8BIG7ORJ from site_6,2024-11-07 16:08:36_682
site_4,Changing vlan type for 9N3V6D2HMG1TZPYF from site_4,2024-11-07 16:08:38_060
site_1,Changing gemport for P989KH4GB7C6T7E3 from site_1,2024-11-07 16:08:41_215
site_1,Changing snmp profile for 2ALPKUJVA3QV0MUB from site_1,2024-11-07 16:08:43_142
site_2,Changing state of capwap from site_2,2024-11-07 16:08:44_310
site_2,Changing vlan type for S7QPMTODRNLHGGB8 from site_2,2024-11-07 16:08:45_352
site_3,Changing c vlan for 8ROGTIOB7ZW0M1ZC from site_3,2024-11-07 16:08:50_342
site_8,Unregistering 1OCJC8RL5FU0I61S from site_8,2024-11-07 16:08:54_295
site_2,Changing c vlan for JNIO5HCUNKSPH6RP from site_2,2024-11-07 16:08:58_366
site_2,Changing gemport for 8FDQG94HLETQ0KVJ from site_2,2024-11-07 16:09:00_566
site_5,Changing snmp profile for P7GX7BV4PJS973NU from site_5,2024-11-07 16:09:04_657
site_8,Changing vlan type for 9SL7C0UGYA642JHP from site_8,2024-11-07 16:09:07_869
site_2,Changing snmp profile for NZS8AUTPJCPJGPLH from site_2,2024-11-07 16:09:10_188
site_2,Changing s vlan for 1MM5EV5FKOIWQ9E0 from site_2,2024-11-07 16:09:14_169
site_2,Unregistering IDSB4I9FYZG92X3H from site_2,2024-11-07 16:09:16_623
site_1,Changing gemport for B6RCQNSRXYTMDZFY from site_1,2024-11-07 16:09:25_327
site_4,Unregistering EKOTGLRJZ9XWA3H2 from site_4,2024-11-07 16:09:33_178
site_7,Changing s vlan for B6RCQNSRXYTMDZFY from site_7,2024-11-07 16:09:34_697
site_8,Changing state of ipdr from site_8,2024-11-07 16:09:39_946
site_7,Changing s vlan for 66JKK2NEK39MFG99 from site_7,2024-11-07 16:09:44_987
site_8,Changing gemport for 9GG3DISSVV1BQZZP from site_8,2024-11-07 16:09:51_066
site_6,Changing s vlan for N9MYNZAX1BJJIWO3 from site_6,2024-11-07 16:10:03_537
site_2,Changing state of ftp-client from site_2,2024-11-07 16:10:05_280
site_4,Changing s vlan for 8OC4VNDO7ZD4E8UJ from site_4,2024-11-07 16:10:10_744
site_2,Changing vlan type for IDSB4I9FYZG92X3H from site_2,2024-11-07 16:10:11_838
site_8,Changing snmp profile for JJ8YOGYEVYQXIVWG from site_8,2024-11-07 16:10:12_425
site_4,Changing vlan type for YGLTKGW0WCYW6RZ2 from site_4,2024-11-07 16:10:19_341
site_2,Changing gemport for O88ZHTDZO7Y3FRRA from site_2,2024-11-07 16:10:24_388
site_8,Unregistering HU9WCPZ1KZLOPVCA from site_8,2024-11-07 16:10:25_903
site_1,Changing c vlan for VFII93IG8BIG7ORJ from site_1,2024-11-07 16:10:27_312
site_2,Changing state of ftp-client from site_2,2024-11-07 16:10:39_516
site_1,Changing snmp profile for 1KRMNWL4IX7LFOTE from site_1,2024-11-07 16:10:41_461
site_3,Changing state of sftp-client from site_3,2024-11-07 16:10:47_991
site_7,Changing snmp profile for NIWU3TOWGFK9JK7X from site_7,2024-11-07 16:10:54_995
site_5,Changing gemport for JP8I7CSD1UIEMGFB from site_5,2024-11-07 16:10:58_386
site_4,Changing snmp profile for J1MORDM9JICUPPBO from site_4,2024-11-07 16:11:04_576
site_6,Changing c vlan for UTQFVF1RAOA1PQHP from site_6,2024-11-07 16:11:06_279
site_5,Changing c vlan for ZCWNORZENVBL2W8M from site_5,2024-11-07 16:11:08_313
site_1,Unregistering W9U6ZMB23D6MJ3C3 from site_1,2024-11-07 16:11:13_743
site_2,Changing vlan type for VQDVYSMSSBNLU7K7 from site_2,2024-11-07 16:11:14_029
site_6,Changing c vlan for BZH8CY15MGBBT58G from site_6,2024-11-07 16:11:15_078
site_2,Changing c vlan for 8FDQG94HLETQ0KVJ from site_2,2024-11-07 16:11:18_252
site_6,Changing state of mqtt from site_6,2024-11-07 16:11:23_118
site_4,Changing c vlan for K7ESV0EKGGQ2AKHL from site_4,2024-11-07 16:11:27_163
site_5,Unregistering BZH8CY15MGBBT58G from site_5,2024-11-07 16:11:29_320
site_2,Changing gemport for VCSO7HWJXJN1EZOF from site_2,2024-11-07 16:11:33_145
site_7,Changing s vlan for 2C3VKQXI4ZSZH053 from site_7,2024-11-07 16:11:37_073
site_7,Changing c vlan for HEIYORNJ2EFUIISS from site_7,2024-11-07 16:11:40_889
site_8,Changing state of sshv6 from site_8,2024-11-07 16:11:43_685
site_7,Unregistering JJ8YOGYEVYQXIVWG from site_7,2024-11-07 16:11:48_145
site_5,Changing snmp profile for 6ON8DYUDVC7FYZ92 from site_5,2024-11-07 16:11:50_599
site_1,Changing c vlan for 05AIUKWJK40A4PVE from site_1,2024-11-07 16:11:54_548
site_3,Changing snmp profile for 1OCJC8RL5FU0I61S from site_3,2024-11-07 16:11:57_257
site_5,Changing vlan type for 8C98WAFKXO5O18ZG from site_5,2024-11-07 16:11:59_666
site_2,Changing vlan type for 6CXHN0STHGWBJ7GV from site_2,2024-11-07 16:12:06_206
site_1,Changing snmp profile for VSV7U3DWMYS7ADSL from site_1,2024-11-07 16:12:11_861
site_4,Changing vlan type for PXMS6G3OI9NS0SMJ from site_4,2024-11-07 16:12:17_276
site_2,Changing s vlan for W1QDXCPKUF1D5O1U from site_2,2024-11-07 16:12:18_510
site_5,Changing state of sftp-client from site_5,2024-11-07 16:12:19_984
